101,vfvGBKqrjD,wvpwXESFSnlKibzcuogdkTQdIYmzSbxNeMowBLtWLjdMPIKxCb,463.84,33
102,jwBTcVqFsN,KBZhNbeyAHKraqyBiqoqHYdqQMXcuzMcenfwYKYwAoYiXCegFU,33.07,577
103,QuljdXXKOt,EgMKPsUhkvpNhOPqgUfIrdvPFLeUzNufIrpcdiaXGLYfTAPsOW,420.99,361
104,aZxQKZkeXR,CKCeYZjTDyizaHFkygvJDxHBXwIYSkoMiHtaZmKvAVdDgytsnQ,791.32,778
105,kGVfZuZWQc,IgertQPQtiJmgfxlzQOGXKUAKEAjQJqEEcHsdKTMogLhPZFqPI,887.25,911
106,IDVgwIvdJs,bTTIJFmLItxOynjhOryDxRvktPvUwtlGAUnTrfriCoIDvKMoEZ,924.93,244
107,hZhshvQmHo,TesepoIoXHjqSskaNjqjsZMEYfClArIPpsPkfWnVqVaAINQtGX,457.68,975
108,lQTkUHzxIj,FMUhQbFBnDyhNPiEklKBMgACpxNiyCDwixjdmldEUxGdmOdtrL,369.2,366
109,UvcKgDrtLS,qoDoTupnesAjIXKQeccvwAQgjSPUJVtPnGASTehGUbBYmgoJuw,488.11,847
110,IXAdwbdIot,rdQlTQJqghiXkCUwEnPZOuucHHvZfucgvsUPvLWzzgGeFBRtQU,854.26,9
111,weMHSkOUoF,jpXDMGqZxWfDfNCavWKANHxECVKUphZZIJhHKvPXpCVjxQcQLz,533.33,670
112,JMyXqwcBeE,OZITOdOfRqsSHIVLyrFTfyknfxWnlEYiQgzUDTrCdnnUNVRSgb,888.68,804
113,xWabKMHtKw,lIWpcCdnTXTRiwlxjEzQEjotlVcFheCEthTkRfpjHofjIlBSCu,728.73,256
114,MmcxUWbchP,ZkmXXEHKoaUoRkAHJYDsLXgDrXovqkhaNfdoPQVqLXmVylbliQ,23.38,545
115,BVMTmxeEcz,fXnvijTfMMmkVrmQdPswjDTcQCohBrdVlXNLGWFlxFgNIMnllV,19.12,671
116,yYWpntWpbL,MtCUCDQRjZlBgOeTFVRrIZUlObietDqBOmwexsYISNFPkYQtwu,944.39,711
117,RnsfvKtWVE,NtsyZGucCjWWWcVZOHimqgDZSdtVpEDJDfLuaqMutHwMWsOJzW,415.1,271
118,NYuouSkBWg,jvpkOSIqoIjlBZHgUwHlxrwRSpSnpqtIQgkRHGZNSVLGTNkkEQ,691.33,304
119,xwcxQpuUqa,IRVAOtotYOdnMQYnPaBuLQAOlewTNclooqCXvZyUiTsjNtPHpF,207.66,448
120,SEvFKEzFrM,OkVjHWiFffCqVFHDiNUPqOWosNbwGRRFOIeBxAuTUIkqFTWokl,673.91,374
121,zbipKvRhHV,lziiPeXaNItlcdzIZNIlZoKDwjfeMPxSLinAPECwIwAKqtiBNb,502.72,28
122,BQJHQcdpgA,fPvhQRCfeEFPUSfnlUMfzMeQeuZvFjfoGSpnMYSFXPwIWiThch,488.88,917
123,XMOCIShFfw,agdOBVjtHBjEmfqAHQVsnJPqAOUpBjSYixkpKXEzaxKDMWjlus,869.7,28
124,bBUDaogsBH,LYNTakkbHHhTXelyqGYiHtCeqSVTVqlhULprOgVcWInONRHEwe,566.98,141
125,kvRYclchbl,RCsFzdfxbErmGgtnSpZEupicNWsosFzysYlCjEResALylnUagw,445.6,593
126,jTETQSWuxg,KMuuecdzuCijybOXdbnMfqIVFlAdIhdSNuAcTbwbbhYbzcGhYm,562.19,425
127,sCdnpahzxo,pgiphKAkYePcVDqFFmQjdAAytvSNdqVExwVsapHWPsmFzeDOOz,904.09,292
128,ZIAdLXzUiS,pwPcmTrRGftQnWgMECdOVoyXRpIDKZUHcnJxREnqKFFYmCZWAw,277.78,973
129,lSFiRSxWLD,ayuIyjqeWXXEIwouwZpseHgSPESXYZokyHlGdhYkmVdYlaKeKE,444.08,686
130,hWhciQuywM,XYnoJjgXBYTHfOuKlAUEKuCRLBWUnaFZyvttMFtBQrAvionXEi,983.19,5
131,ONhfRDIAHd,nefWbFyVqQATXcIgGtOSrjjDKBBWpXtuYzbeWRzNjfjCQMMvKg,861.16,97
132,toPuRmlPEN,QGparixvUtmaIkQIuvsLJTOMlSCZBVwccnxMbxACweCFwZbbPI,290.1,662
133,HOawXqvDiI,ncukIroTpIsUwZmBphWNvAYqPagSISbJbcPNpeowpDcwIGCyLf,675.95,222
134,YYEPTOpKQb,jxIyqwFDTmRyOyDLQXITrGPizGWdGqZLSQnVaqPFipFDVJZcFF,600.72,300
135,CopXMekGUX,UxkdjmWPHtaJaHjwKHCJTVQYnLuIOClPAvlGOWUNxOvtqpWhqx,874.92,615
136,nTJaFTNjWT,WLtviZQfeMlRGaiuHQNrOqzUhBUcLjhylEaSnYeerOEnkDEdKq,18.87,838
137,golCNoGYXL,poOBhEXuGnmMNjtnwpLIitNZTDbGpTBtJnBjSfjHeCBXbGPPil,747.7,57
138,vPiTuJPyUa,UwtRXkjVYmJZJdjyrsAqvjazmBbbORkjIMMUjjwcXXEsJUJxkS,23.65,149
139,QGsBkUbsWB,vJyvoXYvrRCYComoKWjpSavmAJPRZRUlcFxFumUZpkgDPjyiFz,77.57,114
140,ftyRVzZrIT,JfwKpmwULbVUWLWgllnFBrROvcdresjqjlqpidaotMfFfKTTSg,595.96,644
141,BMXPWQonwT,AtYAHNYtmZQCoDuGvcRQfIzhLVggpCvmiFguSTiAHyJEWjdcEP,972.22,905
142,eFCOyBzmfg,fVVDuiBFkRaMDAEccAZSIOzqAuDMawMaqoBlqENijqDGttyZBV,615.47,797
143,WfGGKMcAkL,VlQoqDIaLhVJggMWKkRCjFnOScjgIGrnOsLgIXYpJZgXzZTlEJ,88.07,307
144,VQpJGpPSzL,tTgrSiSkfyxxPzduKoGqcmmxSdncUHtXwYeaQzZDRNMBBaCSZI,947.52,602
145,OKcEyzKRpX,jvXUQNNtSuwPItGTWelUhDEGwnmynCXXPJlWaVwcDDivXfodux,677.69,781
146,JwNNkzLnYJ,ttgSWfMkIHORBHOuzfCTGLqDArAmZJsikdNuTFRypcDopKKFmL,699.67,346
147,kdGnMLrgpA,HTBzCFVsYqwzWhemkuPKJvzFWGIpebYpzpAnyFihBfLQKEPZoG,396.41,742
148,HDusbIqWth,aJRxkrHBebnnehXTNslFCxxADUSzkoYdEdugOpVTHeqkVhuyKW,811.53,183
149,aDqACUwXAJ,utbBSqOrSbDQNfwjExIRBzXQyWXRgbjBREEFjEDjzdtTrivMED,314.52,750
150,ROfTSiufxH,ZaGUMmKwwIvRTZvIMvSxXshhBLeWQMpPsrDbXBocwIDIATLOau,903.05,356
151,XLWuIwhzwK,dKALehjwliVwYmeuYCtKjvFNsnSVYYvbqKWTPLflyTQRCwrskJ,732.05,518
152,SvnUmxnyFV,pCynazJmIBTqvStuZxnkiehNUruqlGMSBbgHGNxoapKlrNgWha,320.01,742
153,RceouiREnl,evfgRBpptqNDGKgZLktNJewcNUVzUemDmSqODWSHlTfVJIqfjv,130.57,228
154,SYCvAMFjPB,HckpliOoMEruWDLVIVpvwKDNHZrimrMaRPhizkXrrlLQCLIqlZ,757.59,71
155,QgwHWknJJN,bCuiSBzqYCihNnfZTJQKzSSqvNOHjIBkbfNhPhQRcSFZAbMhST,754.89,606
156,eajSkhVtIy,FdrnMCpRSVtPjOwvRCADRuiFuOLyIrUXKqFgaaFIrFZBmzXQse,686.85,591
157,DixPJCPGKL,nZHIJitdIOnGiJzuQYPugXjqMAtOxuCngpAHXvDTszJYMZZibW,677.65,72
158,rNzLEYCzRL,zrCjaTLawaqbvHxliJvDRwecNHJZswnRzDRcdLVSdoZuawnMUz,680.43,424
159,swKlGhbAOC,sMNTCgwFzUEZaXDwdhwgBimYwTaocEHFhrwCRXGJovejszoqWA,536.52,238
160,AnhZNUJrBC,duIznaOTnWQIEXeLIpLsguUBUBLMgOUXmwQZlpHtjjqHfrOnud,857.22,808
161,fXeExPqBXz,yBghAIMcoiscioqdKbdcbKceNGOaUivnGoePplEktZLzcDFxux,127.41,529
162,uJTXFkwFsT,IylcqkzvvZnhiMWmAUSRXPsTgeJLHeVJzUTosnvkbqyNeiCAjz,988.6,157
163,ZnFhsQylno,xPDEqkftATHcQjNDxTtqOtGKaRCGeOjaQpSKUbyXuvyZZeyspY,913.02,770
164,KaGcGVhgmB,DFfrKguLnUeNObLuMJhYtbAmjmmhdlUlPPRrEdFntyYdhqXhlz,625.52,319
165,QtkAczkrtW,oBjtVisrkELGjVKaPCaRjXzqJhJIeRMRPXpFKwFjpBEmeseOSs,162.53,683
166,JFgTPCAAGM,jUKlnpHDlMairjIDhaNdgaeLOjMFtAUZrlPedJcuAZROQjutaS,153.78,486
167,xlWUtxGzQo,bvbosypThacSVcwgtpUgohwLYZVsjsRjqKazwmLYLXLApYzKEX,289.14,58
168,wpJAdTHdlu,YChkHXHiJBeLRewvgKtAxvPITBPYdWPbpbThUgXDbmdiRyGNKZ,35.08,412
169,fzgbwzecXQ,wMtWGmowgpBZbSeMppwLmDrGyODGyGcVOfzTvwetJZdnPuaqKX,114.99,138
170,LudHOSDein,uBuOHGMGowjEmxBpGDqVxmXpVrqlcNCWWiYLMTWycuKWGeLMOk,542.82,838
171,xejDatPWfa,nYCedGENnfpJwJzJoQGYIoWYJLQdLkVhmPUkBhWzQNzdmoLYdF,695.43,763
172,BiLBjXFTPY,KOYZvDKMDPYBdzqZFaZYOytMImPdxihyErcsHjwjsInPZLPNlw,132.55,923
173,AFUNDXyojH,CupngssyIuDajIPEuRuodIHgVOwZVTHuAPVprfsugfFzFPeQqQ,632.49,546
174,WNjieBIMUn,nydindlzrrdVFMsNbXUKZKSJeHTFnYrGjsFFFrSeajBYCHjMqj,165.49,219
175,fAbJTOmtSv,RPdqtyBlZPbnIeTTuiVPkgojybEOsSnzFohbwbheIfXfHrbgTa,721.68,605
176,mrsXCpyQKr,quZCqEXVNqeaOPBgrOGqfnDvMFkDpHiAoocPNBuuWrgbKKzUtf,657.9,430
177,gdOHZvlswT,YgrxveuzLphUAxvdVMclvcAcPKTSDQWxrrLhifONEgbwkrOvxH,728.59,926
178,bbHhLxrgii,updDhGextEScmwXyTqwpvqqlJzofoMpekxnneSkeUwmpsNOfqy,582.1,487
179,YxfoGQoYCq,IZTyFFcgTbVeBCxkUFCNFwaPoXFzZoZmBtLbmGQCYQJxYgTerC,651.77,329
180,bFOinDYMlT,TbDlttelSlozUNiwUxfyHZXmUEbZEpiZMEHGCOnpIitykJqpzf,919.66,404
181,IkjjgzxLHP,iUZFogKrcSpjNONoDPhaIGPLxlmfKMXQmhwykGjIRXLBTEcxti,546.13,952
182,lxlvJGldrs,qqyzYaGqsYeHvSAwCAxdkoptzGaEsyJsdNgEnRSzNTneCdvmwy,786.98,330
183,OIFijREPzj,TlIqREpZPueLJUupKjyIkKizdqbQZhGWyffgfRgoRxPwfIGojv,201.3,855
184,mxbYydDcuG,wOMehQnzqYmHONlvyfrmNEYBJkHNxOWiCYsoIZazdxGPggEZST,626.29,563
185,kJVNdhtxIa,XorOkuDCBFbEGMuuNyoaMXaikJTrXvgljVBrzRZWtCsLXTDPzj,929.21,91
186,sviSnXzLsX,NvfjPcWgknZessYBgqdiNTZUqQtWEdXkENZmMzRLsXceBmcuuY,883.87,816
187,PhOzLMluDo,FVbXWCBPPVCNaUzIbfTVesDaOatxlmOTaGBDHwoNydjmRqBKrQ,185.16,183
188,qMfFKALjqS,dFNlTkGXWNWAXknclNfbLNVniOIOogstTpSbJioKXqExJChYgD,443.35,556
189,BhgbqEXfHg,MoKSFaFSGohsPAQWmTZISNUzOQaCjWUGqruwkxofBDgcuaQROb,987.51,614
190,YoDjkzcxsd,wJbQkhCoVZraxyIJTySauXyZQHATqIPrGCmeRKLJyuiGdYyJvM,752.46,127
191,gnsQDhhQKv,aFrFudPufmrkrqVzmMoMNcmfktBWXNUEqXeKFOALTiimJcDCvM,223.73,257
192,nuDxHeJOhk,xviCIvMvHgxHyMoxtVTJlheyOHXyvKqrBKdRHuvsHYWqiktSSj,967.31,602
193,kJvaxnmHis,czudSFOAlTEwmnEuDbJsuMzmelCsCxLQTeXZwuXMyHfMbrqJxX,123.67,172
194,HCNaejTUrJ,OCxBRkSlWmwXLDZQmbgjXEzKcKwhtWChIfPsPNzbzqaJyTrXog,596.91,337
195,JnLHCccUNw,FMbPzroYwnbkDAkmsUKbpmRDoplDLdvIfUNwZzQysWaMiEtSen,312.5,670
196,mqywVhBRzt,jerBzpfTqQFrowvSZXjjFDOSKjHlFJoOtvCZCmFxthKNHYReOh,187.74,351
197,JOQdnchEwk,KNKiYGKSjhaMzupZnbSxwRogjssmrZCzYGflXdPXQSwnemaJzZ,318.63,306
198,bdmMHVocdh,kIZvkRFjBzQwrYRAVYkWLvJnOtfhqQcQjvntaODBZPEpZaCrSO,219.6,633
199,AUaTidQPWS,xddRypSkSBBOvgDLmaexukXaUenblsAHISEHaXHfNLGbvaFfVe,173.25,892
1,ae,hgtre,54.0,12
